2023-04-17 20:06:29,905 INFO    StreamThr :21894 [internal.py:wandb_internal():86] W&B internal server running at pid: 21894, started at: 2023-04-17 20:06:29.905326
2023-04-17 20:06:29,907 DEBUG   HandlerThread:21894 [handler.py:handle_request():144] handle_request: status
2023-04-17 20:06:29,908 INFO    WriterThread:21894 [datastore.py:open_for_write():85] open: /home/boostfish/SUIM/wandb/run-20230417_200629-1ev5pd78/run-1ev5pd78.wandb
2023-04-17 20:06:29,910 DEBUG   SenderThread:21894 [sender.py:send():375] send: header
2023-04-17 20:06:29,911 DEBUG   SenderThread:21894 [sender.py:send():375] send: run
2023-04-17 20:06:30,322 DEBUG   HandlerThread:21894 [handler.py:handle_request():144] handle_request: check_version
2023-04-17 20:06:30,325 INFO    SenderThread:21894 [dir_watcher.py:__init__():219] watching files in: /home/boostfish/SUIM/wandb/run-20230417_200629-1ev5pd78/files
2023-04-17 20:06:30,325 INFO    SenderThread:21894 [sender.py:_start_run_threads():1124] run started: 1ev5pd78 with start time 1681754789.904432
2023-04-17 20:06:30,325 DEBUG   SenderThread:21894 [sender.py:send_request():402] send_request: summary_record
2023-04-17 20:06:30,325 INFO    SenderThread:21894 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-04-17 20:06:30,325 DEBUG   SenderThread:21894 [sender.py:send_request():402] send_request: check_version
2023-04-17 20:06:30,422 DEBUG   HandlerThread:21894 [handler.py:handle_request():144] handle_request: run_start
2023-04-17 20:06:31,327 INFO    Thread-12 :21894 [dir_watcher.py:_on_file_created():278] file/dir created: /home/boostfish/SUIM/wandb/run-20230417_200629-1ev5pd78/files/wandb-summary.json
2023-04-17 20:06:31,427 ERROR   HandlerThread:21894 [gpu.py:is_available():339] Error initializing NVML: Driver Not Loaded
2023-04-17 20:06:31,427 DEBUG   HandlerThread:21894 [system_info.py:__init__():31] System info init
2023-04-17 20:06:31,427 DEBUG   HandlerThread:21894 [system_info.py:__init__():46] System info init done
